TIME, BLOX, BCH4, BVEL, BALT, BENG, SLOX, SCH4, SVEL, SALT, SENG
-10.966666666666667, 226.77, 220.00, 0, 0, 0, 224.34, 222.88, 0, 0, 0
-10.933333333333334, 226.77, 219.99, 0, 0, 0, 224.34, 222.85, 0, 0, 0
-10.9, 226.77, 219.99, 0, 0, 0, 224.34, 222.81, 0, 0, 0
-10.866666666666667, 226.77, 219.99, 0, 0, 0, 224.32, 222.69, 0, 0, 0
-10.833333333333334, 226.77, 219.98, 0, 0, 0, 224.32, 222.78, 0, 0, 0
-10.8, 226.77, 219.98, 0, 0, 0, 224.33, 222.80, 0, 0, 0
-10.766666666666667, 226.77, 219.98, 0, 0, 0, 224.33, 222.85, 0, 0, 0
-10.733333333333334, 226.77, 219.98, 0, 0, 0, 224.34, 222.92, 0, 0, 0
-10.700000000000001, 226.76, 219.98, 0, 0, 0, 224.35, 222.93, 0, 0, 0
-10.666666666666668, 226.77, 219.98, 0, 0, 0, 224.32, 222.91, 0, 0, 0
-10.633333333333335, 226.77, 219.97, 0, 0, 0, 224.33, 222.93, 0, 0, 0
-10.600000000000001, 226.77, 219.97, 0, 0, 0, 224.31, 222.90, 0, 0, 0
-10.566666666666668, 226.77, 219.97, 0, 0, 0, 224.31, 222.90, 0, 0, 0
-10.533333333333335, 226.78, 219.97, 0, 0, 0, 224.30, 222.90, 0, 0, 0
-10.500000000000002, 226.78, 219.97, 0, 0, 0, 224.30, 222.90, 0, 0, 0
-10.466666666666669, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.433333333333335, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.400000000000002, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.366666666666669, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.333333333333336, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.300000000000002, 226.78, 219.98, 0, 0, 0, 224.29, 222.91, 0, 0, 0
-10.26666666666667, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.233333333333336, 226.78, 219.98, 0, 0, 0, 224.29, 222.91, 0, 0, 0
-10.200000000000003, 226.78, 219.98, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.16666666666667, 226.78, 219.97, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.133333333333336, 226.78, 219.97, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.100000000000003, 226.78, 219.97, 0, 0, 0, 224.29, 222.90, 0, 0, 0
-10.06666666666667, 226.78, 219.98, 0, 0, 0, 224.31, 222.90, 0, 0, 0
-10.033333333333337, 226.78, 219.98, 0, 0, 0, 224.30, 223.01, 0, 0, 0
-10.000000000000004, 226.78, 219.98, 0, 0, 0, 224.30, 223.12, 0, 0, 0
-9.96666666666667, 226.78, 219.98, 0, 0, 0, 224.32, 223.24, 0, 0, 0
-9.933333333333337, 226.78, 219.98, 0, 0, 0, 224.32, 223.38, 0, 0, 0
-9.900000000000004, 226.78, 219.98, 0, 0, 0, 224.31, 223.48, 0, 0, 0
-9.86666666666667, 226.78, 219.98, 0, 0, 0, 224.30, 223.57, 0, 0, 0
-9.833333333333337, 226.78, 219.98, 0, 0, 0, 224.29, 223.67, 0, 0, 0
-9.800000000000004, 226.78, 219.98, 0, 0, 0, 224.26, 223.73, 0, 0, 0
-9.766666666666671, 226.78, 219.98, 0, 0, 0, 224.27, 223.72, 0, 0, 0
-9.733333333333338, 226.78, 219.98, 0, 0, 0, 224.25, 223.74, 0, 0, 0
-9.700000000000005, 226.77, 219.98, 0, 0, 0, 224.24, 223.77, 0, 0, 0
-9.666666666666671, 226.77, 219.98, 0, 0, 0, 224.23, 223.76, 0, 0, 0
-9.633333333333338, 226.77, 219.98, 0, 0, 0, 224.23, 223.90, 0, 0, 0
-9.600000000000005, 226.77, 219.98, 0, 0, 0, 224.23, 223.75, 0, 0, 0
-9.566666666666672, 226.77, 219.99, 0, 0, 0, 224.22, 223.79, 0, 0, 0
-9.533333333333339, 226.77, 219.98, 0, 0, 0, 224.22, 223.82, 0, 0, 0
-9.500000000000005, 226.77, 219.98, 0, 0, 0, 224.23, 223.82, 0, 0, 0
-9.466666666666672, 226.78, 220.00, 0, 0, 0, 224.34, 223.60, 0, 0, 0
-9.433333333333339, 226.79, 220.00, 0, 0, 0, 224.33, 223.60, 0, 0, 0
-9.400000000000006, 226.79, 220.00, 0, 0, 0, 224.32, 223.57, 0, 0, 0
-9.366666666666672, 226.78, 220.00, 0, 0, 0, 224.31, 223.47, 0, 0, 0
-9.33333333333334, 226.78, 220.00, 0, 0, 0, 224.28, 223.42, 0, 0, 0
-9.300000000000006, 226.78, 219.99, 0, 0, 0, 224.28, 223.36, 0, 0, 0
-9.266666666666673, 226.78, 219.99, 0, 0, 0, 224.27, 223.31, 0, 0, 0
-9.23333333333334, 226.78, 219.99, 0, 0, 0, 224.26, 223.24, 0, 0, 0
-9.200000000000006, 226.78, 220.00, 0, 0, 0, 224.24, 223.19, 0, 0, 0
-9.166666666666673, 226.78, 220.00, 0, 0, 0, 224.26, 223.24, 0, 0, 0
-9.13333333333334, 226.79, 220.00, 0, 0, 0, 224.27, 223.24, 0, 0, 0
-9.100000000000007, 226.78, 220.01, 0, 0, 0, 224.26, 223.24, 0, 0, 0
-9.066666666666674, 226.79, 220.02, 0, 0, 0, 224.26, 223.31, 0, 0, 0
-9.03333333333334, 226.79, 220.02, 0, 0, 0, 224.26, 223.23, 0, 0, 0
-9.000000000000007, 226.79, 220.02, 0, 0, 0, 224.27, 223.24, 0, 0, 0
-8.966666666666674, 226.79, 220.02, 0, 0, 0, 224.28, 223.25, 0, 0, 0
-8.93333333333334, 226.79, 220.03, 0, 0, 0, 224.28, 223.22, 0, 0, 0
-8.900000000000007, 226.79, 220.03, 0, 0, 0, 224.27, 223.20, 0, 0, 0
-8.866666666666674, 226.79, 220.03, 0, 0, 0, 224.26, 223.21, 0, 0, 0
-8.833333333333341, 226.79, 220.03, 0, 0, 0, 224.24, 223.20, 0, 0, 0
-8.800000000000008, 226.80, 220.03, 0, 0, 0, 224.22, 223.22, 0, 0, 0
-8.766666666666675, 226.80, 220.03, 0, 0, 0, 224.21, 223.21, 0, 0, 0
-8.733333333333341, 226.80, 220.03, 0, 0, 0, 224.20, 223.26, 0, 0, 0
